Simulation,Total_number_of_customers_served,Maximum_Queue_Length,Averag_Queue_length,Maximum_Delay,Average_Delay,Maximum_elevator_time,Average_elevator_time,Maximum_delivery_time,Average_delivery_time,Average_load_size_1,Average_load_size_2,Average_load_size_3,Average_load_size_4,Operation_Time_1,Operation_Time_2,Operation_Time_3,Operation_Time_4,Available_Time_1,Available_Time_2,Available_Time_3,Available_Time_4,Number_of_Maximum_Loads_1,Number_of_Maximum_Loads_2,Number_of_Maximum_Loads_3,Number_of_Maximum_Loads_4,Number_of_stops_1,Number_of_stops_2,Number_of_stops_3,Number_of_stops_4
1.0,305.0,5.0,0.245146088294891,313.0,129.0,151.0,52.0,442.0,84.0,4.0,4.0,4.0,5.0,1102.0,1929.0,2918.0,3497.0,8920.0,8159.0,7104.0,6692.0,0.0,0.0,1.0,0.0,30.0,53.0,70.0,110.0
2.0,420.0,5.0,0.14091440556573,143.0,43.0,154.0,52.0,282.0,82.0,4.0,6.0,4.0,5.0,1595.0,3000.0,3345.0,3919.0,8415.0,7124.0,6723.0,6091.0,0.0,3.0,0.0,2.0,43.0,98.0,89.0,111.0
3.0,429.0,8.0,0.16981309426676,129.0,57.0,136.0,54.0,253.0,80.0,3.0,5.0,5.0,5.0,1292.0,3447.0,3603.0,4181.0,8800.0,6641.0,6430.0,5823.0,0.0,0.0,2.0,1.0,31.0,98.0,110.0,126.0
4.0,412.0,7.0,0.184421855993517,228.0,93.0,143.0,55.0,338.0,86.0,5.0,4.0,5.0,5.0,1683.0,2527.0,3363.0,3644.0,8451.0,7607.0,6771.0,6642.0,0.0,0.0,1.0,0.0,51.0,74.0,105.0,115.0
5.0,382.0,7.0,0.264490521854114,337.0,127.0,160.0,52.0,527.0,84.0,5.0,4.0,4.0,5.0,1723.0,2591.0,3367.0,3907.0,8377.0,7509.0,6840.0,6193.0,0.0,0.0,0.0,0.0,50.0,75.0,92.0,117.0
6.0,422.0,11.0,0.196862928799015,211.0,112.0,187.0,53.0,362.0,84.0,6.0,4.0,4.0,5.0,1599.0,2754.0,3551.0,4008.0,8674.0,7519.0,6871.0,6265.0,0.0,1.0,1.0,0.0,53.0,85.0,107.0,112.0
7.0,386.0,6.0,0.154517125486339,182.0,82.0,131.0,53.0,320.0,81.0,4.0,4.0,3.0,4.0,1960.0,2758.0,3322.0,4130.0,8171.0,7410.0,6732.0,5892.0,0.0,0.0,0.0,0.0,57.0,77.0,87.0,112.0
8.0,386.0,7.0,0.139556490842106,154.0,95.0,143.0,51.0,302.0,80.0,6.0,4.0,4.0,4.0,1619.0,2636.0,3427.0,3983.0,8739.0,7561.0,6770.0,6214.0,0.0,0.0,0.0,0.0,50.0,73.0,99.0,112.0
9.0,370.0,5.0,0.165387418769389,387.0,184.0,136.0,51.0,521.0,82.0,4.0,5.0,4.0,4.0,1847.0,2350.0,3125.0,3812.0,8158.0,7655.0,7017.0,6195.0,1.0,0.0,1.0,0.0,50.0,67.0,85.0,105.0
10.0,449.0,5.0,0.181666311928399,354.0,130.0,139.0,54.0,479.0,84.0,4.0,5.0,5.0,5.0,1803.0,2948.0,3744.0,4209.0,8242.0,7097.0,6301.0,5962.0,0.0,0.0,1.0,1.0,51.0,97.0,102.0,120.0
Avg,396.0,7.0,0.1842776241800260,244.0,105.0,148.0,53.0,383.0,83.0,4.0,4.0,4.0,5.0,1622.0,2694.0,3376.0,3929.0,8495.0,7428.0,6756.0,6197.0,0.0,0.0,1.0,0.0,47.0,80.0,95.0,114.0
